Zr	Fescp	Fbary	sfe	yfe2
   1.0065936e+01   1.0113317e+02   1.9925393e-01   2.3939232e-11   1.9240016e-01
   1.0089059e+01   5.7293788e+01   1.0718978e-01   1.2641371e-10   1.3602595e-01
   1.0133370e+01   4.3775531e+01   6.6580873e-02   1.1605510e-10   9.3167540e-02
   1.0206953e+01   3.8211384e+01   1.2437477e-01   1.6849100e-10   1.7859005e-01
   1.0249204e+01   9.0422094e+01   1.4799966e-01   7.4115956e-11   1.4159954e-01
   1.0318765e+01   8.0534949e+01   7.3988519e-02   1.4601686e-10   1.4008440e-01
   1.0396843e+01   6.7053501e+01   1.0649489e-01   9.2906379e-11   1.4805185e-01
   1.0420012e+01   6.9376673e+01   1.2395265e-01   7.1000130e-11   1.4797685e-01
   1.0511953e+01   3.8914695e+01   5.6281209e-03   1.4346930e-10   1.1489760e-01
   1.0540724e+01   2.3128540e+01   1.7267691e-01   3.7415022e-11   1.8129359e-01
   1.0641956e+01   7.4698443e+01   1.1257136e-01   1.0437318e-10   9.9145555e-02
   1.0652303e+01   3.0400659e+00   9.5086469e-02   1.5085169e-10   7.5508366e-02
   1.0719387e+01   5.6797003e+00   1.7697419e-01   7.5167189e-11   1.4392540e-01
   1.0771049e+01   7.1240826e+01   1.2278993e-01   1.6002498e-10   8.1526417e-02
   1.0832284e+01   6.0573100e+01   1.6683534e-01   6.8163975e-11   1.5920333e-01
   1.0891229e+01   8.6706428e+00   1.0341645e-01   1.1206345e-10   7.5875691e-02
   1.0965271e+01   7.9562017e+01   6.5279203e-02   1.0241897e-10   1.8208041e-01
   1.1004509e+01   1.0273564e+02   8.3955537e-02   3.2055795e-11   1.1078912e-01
   1.1063068e+01   4.7057685e+01   4.5863566e-02   4.3813612e-11   1.2943431e-01
   1.1108562e+01   3.5058972e+00   1.9570082e-01   1.1662167e-10   1.0245589e-01
   1.1211773e+01   2.7274997e+01   6.7674972e-02   1.0366152e-10   9.2667194e-02
   1.1277395e+01   5.5435985e+01   1.5778893e-02   1.7834216e-10   4.2752815e-02
   1.1308763e+01   6.8954975e+01   1.3691348e-01   8.8486296e-11   1.5651518e-01
   1.1381185e+01   2.3918408e+01   9.8880113e-02   1.5782525e-10   8.1401131e-02
   1.1452451e+01   1.1591537e+01   1.0884270e-01   1.4003324e-10   1.0090354e-01
   1.1455596e+01   7.8414081e+01   9.0984960e-03   1.7144788e-10   9.4172865e-02
   1.1538260e+01   1.0893967e+02   2.6891484e-02   7.6111164e-11   9.1853171e-02
   1.1569825e+01   2.9378719e+01   2.4989617e-02   1.6966429e-10   5.6833884e-02
   1.1665805e+01   3.0453432e+01   1.5628522e-01   1.2386507e-10   1.5276956e-01
   1.1696232e+01   2.2375358e+01   5.2184491e-02   1.5367208e-10   8.0064207e-02
   1.1750435e+01   2.5791300e+01   4.3179845e-02   1.7353668e-10   9.5863859e-02
   1.1855689e+01   1.0904632e+01   1.8622897e-01   7.8325062e-11   1.8530769e-01
   1.1868711e+01   7.7538567e+01   1.3922100e-01   4.9990827e-11   1.6261184e-01
   1.1954296e+01   5.3681270e+01   1.9013170e-01   1.1514427e-10   6.1301863e-02
   1.1989886e+01   7.5991514e+01   1.7084069e-01   1.2555982e-10   1.8053340e-01
   1.2046537e+01   6.5602928e+01   1.2638824e-02   5.4002601e-11   1.9332069e-01
   1.2127728e+01   1.9383219e+01   1.3032070e-01   6.0515213e-11   4.3589330e-02
   1.2188679e+01   5.0410117e+01   1.3304839e-01   9.6791504e-11   8.4518603e-02
   1.2220586e+01   5.1391976e+01   5.8746170e-02   8.2554138e-11   1.5893712e-01
   1.2305266e+01   7.2149653e+01   1.4498215e-02   7.1426815e-11   1.7997310e-01
   1.2325072e+01   3.9739227e+01   1.6027205e-01   5.6480552e-11   6.4077358e-02
   1.2409135e+01   5.9436006e+01   1.1440624e-02   6.7246753e-11   1.4647826e-01
   1.2462858e+01   8.2542641e+01   1.2186654e-02   1.4551953e-10   1.0614466e-01
   1.2537167e+01   1.7982171e+01   1.8328565e-01   4.2664839e-11   1.5422085e-01
   1.2581844e+01   8.6219530e+01   8.4024720e-03   1.1729086e-10   4.4647737e-02
   1.2615754e+01   9.5608496e+01   1.7645416e-01   1.6626767e-10   1.7011634e-01
   1.2681545e+01   5.2580464e+01   1.0136097e-01   8.2410567e-11   1.6101937e-01
   1.2721581e+01   2.1808399e+01   1.1037673e-01   4.0470505e-11   7.3557742e-02
   1.2804450e+01   4.9083770e+01   5.7843336e-02   8.1177209e-11   4.1158135e-02
   1.2880920e+01   6.1900974e+01   2.0597393e-02   3.5974760e-11   1.8864060e-01
   1.2930561e+01   1.0177865e+02   9.8503821e-02   1.7598995e-10   1.7377467e-01
   1.2972436e+01   2.6735705e+01   1.8599077e-01   4.3227184e-11   5.8085469e-02
   1.3049165e+01   9.9278736e+01   9.3576085e-02   6.6699319e-11   1.0492022e-01
   1.3105955e+01   7.3430087e+01   1.8770353e-01   1.4119013e-10   1.4101950e-01
   1.3123921e+01   8.8203770e+00   1.5861756e-01   6.3721455e-11   1.7724255e-01
   1.3192748e+01   6.1534275e+00   8.2489351e-02   1.7416087e-10   7.1352281e-02
   1.3250693e+01   2.2181843e+00   4.8825366e-02   1.5654540e-10   5.2993806e-02
   1.3330984e+01   1.0946778e+02   5.9075402e-03   1.1917138e-10   1.2819135e-01
   1.3411421e+01   7.0409611e+01   1.3821889e-01   5.7250108e-11   1.3693408e-01
   1.3427556e+01   9.4583280e+01   5.1272438e-02   6.2524277e-11   6.2454636e-02
   1.3495525e+01   7.3894885e+01   1.3206396e-01   1.6510209e-10   1.1714382e-01
   1.3543832e+01   1.0035212e+02   1.5689406e-01   1.1085252e-10   5.9504018e-02
   1.3635073e+01   6.5415949e+01   1.2903229e-01   7.0503160e-11   5.5666375e-02
   1.3663482e+01   6.7108671e+00   1.3867116e-01   2.6828802e-11   1.0322183e-01
   1.3725735e+01   1.4560217e+01   2.2963932e-02   1.3888024e-10   8.9865571e-02
   1.3799630e+01   8.8168735e+01   1.3635414e-01   9.5053391e-11   1.2476573e-01
   1.3857800e+01   1.7307911e+01   3.2108123e-02   1.2264578e-10   1.9353504e-01
   1.3883026e+01   9.4166538e+01   1.2686087e-01   1.1320004e-10   1.9911136e-01
   1.3982150e+01   1.0546436e+02   7.9638786e-02   9.5228911e-11   8.5278981e-02
   1.3999177e+01   1.0576513e+02   1.8514480e-01   1.2154345e-10   9.4666952e-02
   1.4078772e+01   5.9653020e+01   6.9037042e-03   5.4389864e-11   7.2714621e-02
   1.4105613e+01   1.0865885e+02   1.0093652e-01   9.6013298e-11   6.4638558e-02
   1.4192320e+01   6.4977824e+01   7.4942136e-02   1.7980529e-10   9.0884274e-02
   1.4259085e+01   1.0735425e+02   3.8141646e-02   8.8035897e-11   7.6368590e-02
   1.4331343e+01   3.8392577e+01   7.0203765e-02   1.5000341e-10   9.6402575e-02
   1.4374444e+01   1.0759438e+02   2.6812415e-03   1.1391045e-10   1.4949548e-01
   1.4393817e+01   7.5259146e+01   5.6731538e-02   8.7366088e-11   1.8807163e-01
   1.4467490e+01   8.2421103e+01   1.5891608e-01   1.0355235e-10   1.9081776e-01
   1.4538221e+01   9.6749894e+00   1.7489735e-01   1.3429543e-10   8.6095822e-02
   1.4574659e+01   5.6593612e+01   4.9582004e-02   2.2769819e-11   1.3991236e-01
   1.4678210e+01   7.1302429e+00   8.0251024e-02   3.2828797e-11   1.1335814e-01
   1.4725259e+01   5.5258195e+01   1.4070859e-01   4.8427139e-11   1.0679507e-01
   1.4783879e+01   1.9297185e+01   1.5236653e-01   7.9229580e-11   1.8907413e-01
   1.4820193e+01   3.2378111e+01   7.2074201e-02   9.2087052e-11   1.2112085e-01
   1.4888340e+01   4.8506390e+01   3.3739218e-02   1.4469028e-10   1.3407998e-01
   1.4916129e+01   9.2368272e+01   4.0932462e-02   5.1122746e-11   1.5462789e-01
   1.5002261e+01   1.6804998e+01   2.2015480e-02   1.0851032e-10   6.9446019e-02
   1.5070876e+01   1.0408372e+01   1.6850203e-01   2.7687495e-11   1.1855893e-01
